Company,ActiveBrand,Headquarters,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Leuner (dba Northeast Great Dane Trailers),Y,NJ,250,1973,n/a,n/a,Tier 4 - Small Privately-Owned,Transportation,Agency Transportation,n/a,n/a,"n/a,",150.00,2018,https://negd.net/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a,775
LN Curtis & Sons,Y,CA,260,1929,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",150.00,2018,http://www.lncurtis.com/,https://www.lncurtis.com/company-history,n/a,n/a,PrivCo (www.privco.com),n/a,776
MTM Technologies,Y,IL,225,1986,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",150.00,2015,https://www.mtm.com/,OH DRC Spending,n/a,n/a,https://www.mtm.com/30-year-timeline/,n/a,777
Shuford Yarns,Y,NC,260,1880,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",150.00,2018,http://www.shufordyarns.com/,https://www.nationalcia.org/corporate-members,n/a,See corrections source,PrivCo (www.privco.com),n/a,778
Solutionz,Y,CA,350,2001,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",150.00,2019,https://www.solutionzinc.com/,https://www.solutionzinc.com/blog/video-conferencing-in-correctional-facilities,n/a,n/a,PrivCo (www.privco.com),n/a,779
United Ag & Turf (formerly Coufal-Prater Equipment),Y,TX,320,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",150.00,2018,https://www.unitedagandturf.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,780
Johnson-Lancaster And Associates,Y,FL,"2,100",1980,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",149.50,2018,https://www.johnson-lancaster.com/,FL DOC Spending,n/a,n/a,PrivCo (www.privco.com),n/a,781
Appriss (formerly Vine),Y,KY,834,1994,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,"Arrest, Court, & Probation Data Systems",n/a,n/a,"n/a,",148.00,2018,https://appriss.com/,http://www.ijis.org/?page=Member_List,n/a,n/a,PrivCo (www.privco.com),n/a,782
Kilgore Industries,Y,TX,600,2000,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,"n/a,",144.00,2018,http://www.kilgoreind.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,783
Zimmer Gunsul Frasca Architects,Y,OR,724,1942,Robert Frasca,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,"n/a,",144.00,2018,https://www.zgf.com/,http://gracehebert.com/files/news/Correctional_News_2015_Architect_List.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,784
Alto-Shaam,Y,WI ,500,1955,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,n/a,n/a,"n/a,",140.00,2018,https://www.alto-shaam.com/en,https://www.alto-shaam.com/en/our-markets/correction,n/a,n/a,PrivCo (www.privco.com),n/a,785
Dasco Pro,Y,IL,150,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",140.00,2018,www.dascopro.com,See Leatherhead Special Entry Tools,n/a,n/a,PrivCo (www.privco.com),n/a,786
Emergent ,Y,VA,120,2006,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",140.00,2018,https://www.emergent360.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,787
Ensco,Y,VA,629,1969,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",140.00,2019,http://www.ensco.com/,http://www.ensco.com/national-security/microsearch,n/a,n/a,PrivCo (www.privco.com),http://correctionsmarketplace.com/Featured/List,788
Lehmans Pipe & Steel,Y,TX,60,1966,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",140.00,2018,http://www.lehmanspipeandsteel.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,789
M2 Technology,Y,TX,35,2000,n/a,n/a,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,n/a,n/a,"n/a,",140.00,2018,http://www.m2ti.com/,http://www.m2ti.com/vizvox,n/a,n/a,PrivCo (www.privco.com),n/a,790
Tribridge,Y,FL,740,1998,n/a,DXC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,Corrections Data Systems,n/a,n/a,9,140.00,2017,http://www.tribridge.com/,http://www.tribridge.com/industries/public-sector/justice-and-public-safety,n/a,n/a,https://www.bizjournals.com/tampabay/news/2017/07/05/large-tampa-tech-firm-it-service-provider-sells-to.html,http://www.tribridge.com/insights/News/2017/07/05/dxc-technology-acquires-tribridge-to-solidify-its-position-as-a-leading-systems-integrator-for-microsoft-dynamics-365,791
Wurth Louis & Company,Y,CA,"2,300",1975,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",140.00,2018,https://www.wurthlac.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004140-T.pdf,n/a,See corrections source,PrivCo (www.privco.com),https://www.spokanejournal.com/local-news/wurth-louis-co-set-to-open-spokane-valley-store/,792
Clark Equipment,Y,Australia,425,1948,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",139.50,2015,http://www.clarkequipment.com/,California Spending Data - 2018,n/a,n/a,PrivCo (www.privco.com),n/a,793
Manning & Napier,Y,NY,433,1970,Marc Mayer,MN,Tier 1b - Publicly Traded - Other,Investor,Equity/Debt Investor,n/a,n/a,9,136.00,2019,https://www.manning-napier.com/,https://www.aft.org/sites/default/files/invest-risks-prisons-detention-2018.pdf,n/a,n/a,FactSet,n/a,794
Official Payments Corp,Y,GA,237,1994,n/a,ACIW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Financial Services,Agency Payment Processing,n/a,n/a,10,135.70,2012,https://www.officialpayments.com,https://www.officialpayments.com/gb_au_main.jsp,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1045150/000104515012000072/form10k.htm#ITEM8FINANCIALSTATEMENTSA,http://www.banking-business-review.com/news/aci-worldwide-agrees-to-acquire-official-payments-for-109m-240913,795
DLZ,Y,OH,721,1946,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,"n/a,",135.00,2019,https://dlz.com/,https://dlz.com/markets/criminal-justice/correctional/,n/a,n/a,PrivCo (www.privco.com),n/a,796
Halff Associates,Y,TX,752,1950,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,"n/a,",134.80,2018,https://www.halff.com/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,n/a,n/a,PrivCo (www.privco.com),n/a,797
Benjamin Foods,Y,PA,100,2007,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,"n/a,",134.00,2018,https://www.benjaminfoods.com/,https://www.benjaminfoods.com/services/correctional-facilities/,n/a,n/a,PrivCo (www.privco.com),n/a,798
Impres Technology Solutions,Y,CA,45,2001,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",130.70,2018,https://www.imprestechnology.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,799
Ace Mart Restaurant Supply Co,Y,TX,380,1975,Jerry Higgins,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",130.20,2018,https://www.acemart.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,800
Asset Protection and Security Services,Y,TX,850,1994,n/a,n/a,Tier 4 - Small Privately-Owned,Transportation,Prison Transportation,Y,n/a,"n/a,",130.00,2018,https://www.asset-security-pro.com/,n/a,https://www.usaspending.gov/#/award/23822640,n/a,PrivCo (www.privco.com),n/a,801
E J Harrison & Sons,Y,CA,,1932,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",130.00,2018,http://www.ejharrison.com/,California Spending Data - 2018,n/a,n/a,PrivCo (www.privco.com),https://www.cityofventura.ca.gov/DocumentCenter/View/8170/item-10?bidId=,802
National Food Group,Y,MI,108,1990,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,Y,"n/a,",130.00,2018,http://www.nationalfoodgroup.com/,https://www.nationalfoodgroup.com/corrections,n/a,Adult prison food service provider,PrivCo (www.privco.com),n/a,803
Safety Vision,Y,TX,110,1991,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,Y,"n/a,",130.00,2018,http://www.safetyvision.com/,http://www.safetyvision.com/law-enforcement,n/a,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),n/a,804
Samuel Strapping Systems,Y,IL,590,1863,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",130.00,2018,http://www.samuelstrapping.com/,NYS DOCCS Spending,n/a,See corrections source,PrivCo (www.privco.com),n/a,805
Solar Supply,Y,LA,230,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",130.00,2018,http://www.solarsupply.us/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,806
Southern Health Partners,Y,TN,850,1994,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Y,n/a,"n/a,",130.00,2018,http://www.southernhealthpartners.com/,See website,https://worthrises.org/immigration,n/a,PrivCo (www.privco.com),n/a,807
Sprint Waste Services,Y,TX,480,2006,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",130.00,2018,https://www.sprintwaste.com/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,n/a,n/a,PrivCo (www.privco.com),n/a,808
QC Supply,Y,NE,200,1982,Kevin Andrews,n/a,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,9,125.00,2017,https://www.qcsupply.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),https://www.charlesbank.com/portfolio/companies/qc-supply/,809
GTS Technology Solutions (formerly Austin Ribbon & Computer Suppliers),Y,TX,100,1984,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",124.60,2018,https://www.gts-ts.com/,http://www.tjjd.texas.gov/procurement/home/index?path=/Austin%20Office%20Puchase%20Orders,n/a,n/a,PrivCo (www.privco.com),n/a,810
Comprehensive Health Services,Y,VA,"1,100",n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Y,n/a,"n/a,",124.00,2018,https://www.chsmedical.com//,n/a,https://www.thenation.com/article/private-contractors-enable-trumps-cruelties-border/,n/a,PrivCo (www.privco.com),n/a,811
Dickinson Frozen Foods,Y,ID,n/a,1985,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",124.00,2018,http://df-foods.com/,https://435bd23a-f4be-41cf-aa06-68751a4fd6ce.usrfiles.com/ugd/435bd2_32bc2006882b43af919b81b575a9de79.pdf,n/a,https://www.nationalcia.org/statistical-reports,PrivCo (www.privco.com),n/a,812
AC Furniture,Y,VA,475,1977,Kennon G. Robertson,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",123.50,2018,http://www.acfurniture.com/,https://www.nationalcia.org/corporate-members,n/a,See corrections source,http://www.buzzfile.com/business/Acf-276-650-3356,n/a,813
ARKRAY USA,Y,MN,220,1969,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Equipment,n/a,n/a,"n/a,",120.00,2018,https://www.arkrayusa.com/,http://ajaproductserviceresource.com/,n/a,n/a,PrivCo (www.privco.com),n/a,814
Creative Bus Sales,Y,GA,210,1980,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",120.00,2018,http://www.creativebussales.com/,http://www.creativebussales.com/vehicles/prisons,n/a,n/a,PrivCo (www.privco.com),n/a,815
Document Storage Systems (DSS Inc),Y,FL,800,1991,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Records Systems,n/a,n/a,"n/a,",120.00,2018,https://www.dssinc.com/,See Sage Health Management Solutions (Sage HMS),n/a,n/a,PrivCo (www.privco.com),n/a,816
JPay,Y,FL,255,2002,n/a,n/a,Tier 2 - Investment Firm-Owned,Financial Services,Money Transfers,n/a,n/a,12,120.00,2018,https://www.jpay.com/,See website,n/a,n/a,PrivCo (www.privco.com),https://www.prnewswire.com/news-releases/securus-technologies-inc-to-acquire-jpay-inc-300065531.html,817
Linium,Y,NY,770,2000,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",120.00,2018,https://www.linium.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a,818
Port Consolidated,Y,FL,210,2000,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",120.00,2018,https://www.portconsolidated.com/,http://www.dc.state.fl.us/business/contracts/,n/a,n/a,PrivCo (www.privco.com),n/a,819
Rothco,Y,NY,230,1953,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",120.00,2018,https://www.rothco.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,820
United Solutions Company,Y,MA,590,1919,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",120.00,2018,http://www.unitedsolutions-plastics.com/,FL DOC Spending,n/a,n/a,PrivCo (www.privco.com),n/a,821
Companhia Brasileira de Cartuchos (CBC Group),Y,Brazil,"1,420",1926,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",118.80,2013,http://intl.cbc.com.br/,See Magtech,n/a,n/a,PrivCo (www.privco.com),http://www.magtechammunition.com/corporate/cbc-group-fast-facts/,822
Blue Canopy Group,Y,VA,441,2001,n/a,J,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,117.00,2015,http://www.bluecanopy.com/,n/a,GovSpend,n/a,PrivCo (www.privco.com),http://invest.jacobs.com/investors/Press-Release-Details/2017/Jacobs-Acquires-Blue-Canopy-Expands-Data-Analytics-and-Cybersecurity-Services/default.aspx,823
Entech Sales & Service,Y,TX,400,1981,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",116.40,2018,http://www.entechsales.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,824
GEO Design Services (formerly Design Services),Y,FL,,1998,n/a,GEO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,14,113.20,2017,https://www.geogroup.com/Design_Build_Finance/Lease,See website,n/a,n/a,http://www.snl.com/Interactive/newlookandfeel/4144107/2017-GEO-Annual-Report.pdf,n/a,825
GovSmart,Y,VA,25,2009,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",113.00,2018,https://www.govsmart.com/,n/a,GovSpend,n/a,PrivCo (www.privco.com),n/a,826
Purple Communications,Y,CA,"1,500",2002,n/a,n/a,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,n/a,n/a,"n/a,",113.00,2018,https://purplevrs.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,827
Skygen,Y,WI,,1993,Greg Borca,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,"n/a,",113.00,2018,https://skygenusa.com/home.htm,http://aca.org/DOCS/Conference/COC2018/Minneapolis%202018%20Exhibitor%20Prospectus.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,828
Perry's Ice Cream,Y,NY,257,1918,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,n/a,n/a,"n/a,",112.20,2018,http://www.perrysicecream.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a,829
Ares,Y,CA,800,1992,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",112.00,2018,http://www.arescorporation.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,830
Advanced Correctional Healthcare,Y,IL,550,2002,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Y,n/a,"n/a,",110.00,2018,https://www.advancedch.com/,See website,https://worthrises.org/immigration,n/a,PrivCo (www.privco.com),n/a,831
Bottom Line Food Processors (dba Michael Angelo's Gormet Foods),Y,FL,300,1983,n/a,n/a,Tier 2 - Investment Firm-Owned,Food & Commissary,Prison Food,n/a,n/a,10,110.00,2017,http://www.michaelangelos.com/,http://correctionsmarketplace.com/,n/a,n/a,PrivCo (www.privco.com),https://www.adventinternational.com/sovos-brands-backed-by-advent-international-acquires-michael-angelos-gourmet-foods/,832
Browning,Y,UT,220,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",110.00,2018,http://www.browning.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,833
Fibrebond,Y,LA,500,1982,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,"n/a,",110.00,2018,http://www.fibrebond.com/,https://aja.multiview.com/,n/a,n/a,PrivCo (www.privco.com),n/a,834
Heritage Parts,Y,IN,326,1987,Steve Snower,n/a,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,110.00,2017,https://www.heritageparts.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,PrivCo (www.privco.com),https://www.pehub.com/2011/12/jordan-co-completes-heritage-food-service-deal/,835
Jamieson Manufacturing,Y,TX,440,1943,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",110.00,2018,https://jamiesonfence.com/,http://correctionsmarketplace.com/,n/a,n/a,PrivCo (www.privco.com),n/a,836
Reliable Parts,Y,WA,650,1933,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",110.00,2018,https://www.reliableparts.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,837
Royal Carting Service,Y,NY,320,1955,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",110.00,2018,https://www.royalcarting.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a,838
Sovos Brands,Y,CA,220,2017,Todd Lachman,n/a,Tier 2 - Investment Firm-Owned,Food & Commissary,Prison Food,n/a,n/a,9,110.00,2018,http://www.sovosbrands.com/,See Bottom Line Food Processors,n/a,n/a,PrivCo (www.privco.com),https://www.adventinternational.com/investments/,839
Weaver Leather,Y,OH,310,1973,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",110.00,2018,http://www.weaverleather.com/,TDCJ Spending,n/a,See corrections source,PrivCo (www.privco.com),n/a,840
Sevatec,Y,VA,310,2003,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",108.50,2018,http://www.sevatec.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,841
East Bay Tire Company,Y,CA,180,1946,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",103.00,2018,https://www.eastbaytire.com/,California Spending Data - 2018,n/a,n/a,PrivCo (www.privco.com),n/a,842
North Shore Supply Company (dba North Shore Steel),Y,TX,470,1955,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",103.00,2018,http://www.nssco.com/,TDCJ Spending,n/a,See corrections source,PrivCo (www.privco.com),n/a,843
Trussbilt,Y,SD,410,1926,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,"n/a,",103.00,2018,http://www.trussbilt.com/,http://www.trussbilt.com/detention.php,n/a,n/a,PrivCo (www.privco.com),n/a,844
US Water Services Corp,Y,FL,520,1997,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",103.00,2018,http://www.uswatercorp.com/,http://www.dc.state.fl.us/business/contracts/C2802.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,845
WidePoint,Y,IL,227,1997,Jin Kang,WYY,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,8,101.70,2019,https://www.widepoint.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,846
Innovative Foodservice Group (Formerly Beltram Food Service Group),Y,FL,150,1973,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",101.10,2018,https://www.innovativefoodservicegroup.com,http://www.dc.state.fl.us/business/contracts/,n/a,n/a,PrivCo (www.privco.com),n/a,847
Lyon Workspace Products,Y,IL,450,1901,Gene Berg,n/a,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,10,101.00,2017,https://www.lyonworkspace.com,http://correctionalnews.com/2012/08/09/all-purpose-lockers/,n/a,n/a,PrivCo (www.privco.com),https://www.inddist.com/news/2013/05/lyon-workspace-products-sold-equity-partnership,848
R&Q,Y,UK,422,1991,William Spiegel ,RQIH-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Bail & Surety,n/a,n/a,12,100.60,2018,http://www.rqih.com/,https://www.aclu.org/report/selling-our-freedom-how-insurance-corporations-have-taken-over-our-bail-system,n/a,n/a,FactSet,n/a,849
Stand Energy Corporation,Y,OH,34,1984,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Utility/Energy,n/a,n/a,"n/a,",100.20,2018,http://stand-energy.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a,850
Dude Solutions,Y,NC,607,1999,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",100.00,2018,https://www.dudesolutions.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,851
MicroPact,Y,VA,600,1997,Kris Collo,n/a,Tier 2 - Investment Firm-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,10,100.00,2015,https://www.micropact.com/,https://www.micropact.com/solutions/in/justice-and-law-enforcement-portfolio/,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,PrivCo (www.privco.com),https://www.pehub.com/2014/04/enlightenment-capital-backs-micropact/,852
Revision Military,Y,VT,400,2001,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",100.00,2018,https://www.revisionmilitary.com/en/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,853
Santek Waste Services,Y,TN,510,1986,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",100.00,2018,http://www.santekenviro.com,See Waste Services of Texas,n/a,n/a,PrivCo (www.privco.com),n/a,854
TP Mechanical Contractors,Y,OH,480,1953,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,Y,"n/a,",100.00,2018,http://www.tpmechanical.com/,OH DRC Spending,n/a,See corrections source,PrivCo (www.privco.com),n/a,855
DataBank IMX,Y,MD,850,1991,n/a,6971-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,"Arrest, Court, & Probation Data Systems",n/a,n/a,10,99.20,2015,http://www.databankimx.com/,http://www.databankimx.com/solutions/industry-solutions/government/justice-and-public-safety/,n/a,n/a,PrivCo (www.privco.com),https://usa.kyoceradocumentsolutions.com/en/about-us/press-center/august-2--2017--one-of-worlds-leading-document-solutions-compani.html,856
Grimco,Y,MO,225,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",99.00,2018,https://www.grimco.com/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),n/a,857
Health Care Logistics,Y,OH,335,1978,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,"n/a,",98.50,2018,http://www.gohcl.com/,http://correctionsmarketplace.com/,n/a,n/a,PrivCo (www.privco.com),n/a,858
MedExcel,Y,NY,640,1984,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,"n/a,",97.00,2018,http://www.medexcelusa.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a,859
PlumbMaster,Y,SC,310,1932,n/a,n/a,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,8,97.00,2017,https://www.plumbmaster.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),https://www.prnewswire.com/news-releases/professional-plumbing-group-acquired-by-dunes-point-capital-217900951.html,860
