Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
Accurate Trace,Y,NJ,,2016,n/a,Emanual G. Scharon,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,https://accuratetrace.com,See website,n/a,n/a,n/a,n/a
Ace Automatics (dba Manhill Food Service),Y,NY,,1946,n/a,Jack Hilimire,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Vending Machines,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.manhillfoodservice.com/,NYS DOCCS Spending,n/a,n/a,n/a,n/a
ACE Binding (dba AllStitch Embroidery Supplies),Y,MD,,1941,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.acebinding.com/,http://ajaproductserviceresource.com/,n/a,n/a,n/a,n/a
ACE Hardware,Y,IL,"5,456",1924,n/a,John Venhuizen,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,"$5,717.0",2018,N,n/a,n/a,www.acehardware.com,http://www.dc.state.fl.us/business/contracts/,n/a,n/a,PrivCo (www.privco.com),n/a
Ace Mart Restaurant Supply Co,Y,TX,380,1975,n/a,Jerry Higgins,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$130.2,2018,N,n/a,n/a,https://www.acemart.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a
Ace Parking Management ,Y,CA,"5,400",1950,n/a,John Baumgardner,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,Y,n/a,"n/a,",n/a,$720.0,2018,N,n/a,n/a,https://aceparking.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a
Ace Rubber Products,Y,TX,,1988,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.acerubberproducts.com/index.html,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,n/a,n/a,n/a,n/a
Acelity (formerly Kinetic Concepts),Y,TX,"4,700",1976,2019,n/a,n/a,3M,MMM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,n/a,n/a,8,n/a,"$1,468.0",2018,N,n/a,Acquired by 3M in 2019,http://www.acelity.com/home,https://facts.fldfs.com/Search/ContractDetail.aspx?AgencyId=700000&ContractId=C2617&Tab=1,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1557939/000155793916000077/a201510k.htm#sCF746C6E59035C50961BBBCB9A3DB15F,https://www.massdevice.com/private-equity-owners-rebrand-kci-systagenix-lifecell-acelity/
ACI Commercial Roofers,Y,IL,,1984,n/a,Brian Brookheart,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.acicr.com/Index.html,http://correctionsmarketplace.com/,n/a,n/a,n/a,n/a
ACI Worldwide,Y,FL,"4,500",1975,n/a,Odilon Almeida,n/a,n/a,ACIW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Financial Services,Agency Payment Processing,n/a,n/a,n/a,n/a,10,n/a,"$1,258.3",2019,N,n/a,n/a,https://www.aciworldwide.com/,See Official Payments Corp,n/a,n/a,FactSet,https://www.aciworldwide.com/news-and-events/press-releases/2013/november/aci-worldwide-completes-acquisition-of-official-payments
Acivilate,Y,GA,,2014,n/a,Louise Wasilewski,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Community Corrections,"Probation, Parole, & Other Supervision",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://acivilate.com/,See website,n/a,n/a,n/a,n/a
Acorn Engineering,Y,CA,"1,400",1954,n/a,n/a,n/a,Morris Group International ,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$440.0,2018,N,n/a,n/a,https://www.acorneng.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
ACS Corrections of Texas,Y,OK,80,2006,n/a,n/a,n/a,CoreCivic,CXW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Residential Programs,n/a,n/a,n/a,n/a,13,Y,,,Y,n/a,n/a,https://www.bop.gov/locations/rrc/?contract=DJB200272,https://www.bop.gov/business/rrc_directory.jsp,n/a,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1070985/000119312517053982/d310578dex211.htm
ACS Group (American CyberSystems),Y,GA,"12,250",1998,n/a,Raj Sardana,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,$750.0,2018,N,n/a,n/a,http://www.acsicorp.com/acs-your-true-partner,See Analysts,n/a,n/a,PrivCo (www.privco.com),n/a
Actall,Y,CO,35,1991,n/a,Bob Hampe,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,Equipment,Security Technology,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.actall.net,https://s23.a2zinc.net/clients/aja/aja2018/public/exhibitors.aspx,n/a,n/a,n/a,n/a
Activar,Y,MN,520,1947,n/a,Richard Namara,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$75.0,2018,N,n/a,n/a,http://www.activarcpg.com/,See Air Louvers,n/a,n/a,PrivCo (www.privco.com),n/a
ActiveLED,Y,TX,,2007,n/a,n/a,n/a,Network Technology/Ringdale,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,,,N,n/a,Product brand,http://activeled.com/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,n/a,n/a
ActOne Group,Y,CA,"2,600",1978,n/a,Janice Bryant Howroyd,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Data & Information Systems,Corrections Data Systems,Personnel,Staff Management Systems,n/a,n/a,"n/a,",n/a,"$2,400.0",2018,N,n/a,n/a,https://www.actonegroup.com/,https://www.act1group.com/solutions.aspx#fndtn-business,n/a,n/a,PrivCo (www.privco.com),https://guidebook.com/guide/117198/list/579848/
Actsoft,Y,FL,160,1996,n/a,Thomad Mitchelle,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Staff Management Systems,n/a,n/a,n/a,n/a,"n/a,",n/a,$28.5,2018,N,n/a,n/a,http://www.actsoft.com/,http://correctionsmarketplace.com/,n/a,n/a,PrivCo (www.privco.com),n/a
Acuity,Y,DC,,2002,n/a,Rui Garcia,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,Y,n/a,"n/a,",n/a,$31.0,2018,N,n/a,n/a,http://www.myacuity.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a
AD Morgan Corporation,Y,FL,30,1989,n/a,Rebecca Smith,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,n/a,n/a,"n/a,",n/a,$35.0,2018,N,n/a,n/a,http://www.admorgan.com/,https://www.admorgan.com/project/lowell-correctional-institution,n/a,n/a,PrivCo (www.privco.com),n/a
Adage Capital Partners,Y,MA,,n/a,n/a,Phil Gross,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,12,Y,,,N,n/a,n/a,https://www.adagecapital.com/,https://www.aft.org/sites/default/files/invest-risks-prisons-detention-2018.pdf,n/a,n/a,n/a,n/a
Adamcik's Country Store,Y,TX,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.adamciks.com/,TDCJ Spending,n/a,n/a,n/a,n/a
Adamson Police Products,Y,CA,34,1980,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://shop.policeproducts.com/,See website,n/a,n/a,n/a,n/a
ADANI Systems,Y,TX,,1991,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.adanisystems.com/,http://correctionsmarketplace.com/,n/a,n/a,n/a,http://adanisystems.us/index.php?dispatch=categories.view&category_id=167
Adapt Pharma,Y,Ireland,,2014,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Healthcare,Pharmacy,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://adaptpharma.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
Adaptive Digital Systems,Y,Canada,,n/a,n/a,n/a,n/a,Dyplex Communications,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,Telecom,Telecom Surveillance & Security,Y,n/a,"n/a,",n/a,,,Y,n/a,n/a,https://www.adaptivedigitalsystems.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,n/a,http://www.dyplex.com/adaptive%20digital%20systems
ADC,Y,NM,670,1985,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Other,n/a,n/a,Y,n/a,"n/a,",n/a,$60.0,2018,N,n/a,n/a,https://portal.adcltdnm.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a
Adcare Recovery Services,Y,MA,,1975,2018,n/a,n/a,American Addiction Centers (dba AAC Holdings),AACH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Substance Abuse Treatment,n/a,n/a,n/a,n/a,9,n/a,$54.0,2018,N,n/a,Acquired by AAC Holdings in 2018 for $85 M,http://adcare.com/,http://adcare.com/criminal-justice-services/,n/a,n/a,https://www.prnewswire.com/news-releases/aac-holdings-completes-acquisition-of-adcare-inc-300607123.html,n/a
Addiction Behavioral Services,Y,TX,,2010,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Substance Abuse Treatment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,TDCJ Spending,n/a,n/a,n/a,https://www.manta.com/c/mtq3vx3/addiction-behavioral-services-llc
Addiction Campuses,Y,TN,,2014,n/a,Matt Morgan,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Other,Rehab Programming,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.addictioncampuses.com/,https://s23.a2zinc.net/clients/aja/aja2019/Public/exhibitors.aspx,n/a,n/a,n/a,n/a
Adirondack Energy Products,Y,NY,200,1988,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Utility/Energy,n/a,n/a,n/a,n/a,"n/a,",n/a,$300.0,2018,N,n/a,n/a,https://www.adirondackenergy.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a
ADM Alliance Nutrition,Y,IL,"31,300",1902,n/a,Juan R. Luciano,n/a,n/a,ADM,Tier 1b - Publicly Traded - Other,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,9,n/a,"$64,656.0",2019,N,n/a,n/a,https://www.adm.com/,TDCJ Spending,n/a,n/a,FactSet,n/a
Adobe Systems,Y,CA,"21,357",1982,n/a,Shantanu Narayen,n/a,n/a,ADBE,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Data & Information Systems,Immigration Data Systems,Y,n/a,7,n/a,"$11,171.3",2019,N,n/a,n/a,https://www.adobe.com/,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a
Adolph Foods,Y,CA,,2003,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,n/a,n/a,n/a,n/a
Advance Auto Parts,Y,VA,"74,000",1929,n/a,Thomas R. Greco,n/a,n/a,AAP,Tier 1b - Publicly Traded - Other,Transportation,Agency Transportation,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,n/a,"$9,709.0",2019,N,n/a,n/a,https://shop.advanceautoparts.com/,See General Parts Distribution,n/a,n/a,FactSet,https://corp.advanceautoparts.com/about/general.asp
Advanced Commodities,Y,IL,,1998,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,http://www.txsmartbuy.com/contracts/view/1874,n/a,n/a,n/a,n/a
Advanced Correctional Healthcare,Y,IL,550,2002,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Healthcare,Mental Health Services,Y,n/a,"n/a,",n/a,$110.0,2018,Y,n/a,n/a,https://www.advancedch.com/,See website,https://worthrises.org/immigration,n/a,PrivCo (www.privco.com),n/a
Advanced Data Systems,Y,NJ,380,1977,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Records Systems,Data & Information Systems,Medical Records Systems,n/a,n/a,"n/a,",n/a,$56.0,2018,N,n/a,n/a,https://www.adsc.com/,FL DOC Spending,n/a,n/a,PrivCo (www.privco.com),n/a
Advanced Educational Products,Y,NY,50,1992,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,"Education Services, Materials, & Technology",n/a,n/a,n/a,n/a,"n/a,",n/a,$8.5,2017,N,n/a,n/a,http://www.aepbooks.com/who-we-are/our-history,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004027-T.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
Advanced Engineering Consultants,Y,OH,70,1998,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Equipment,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",n/a,$11.4,2018,N,n/a,n/a,http://www.aecmep.com/,OH DRC Spending,n/a,n/a,PrivCo (www.privco.com),n/a
Advanced Eyecare & Sports,Y,OH,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,OH DRC Spending,n/a,n/a,n/a,n/a
Advanced Industrial Roofing,Y,OH,,1988,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.airoofing.com/,OH DRC Spending,n/a,n/a,n/a,n/a
Advanced Secure Solutions,Y,FL,,2005,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Equipment,Security Equipment,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://secure.mx/,http://correctionsmarketplace.com/,n/a,n/a,n/a,n/a
Advanced Systems Design,Y,FL,150,1979,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,$24.0,2018,N,n/a,n/a,https://asd-web.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,n/a,n/a,PrivCo (www.privco.com),n/a
Advanced Technologies & Laboratories (ATL),Y,MD,,1989,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,Y,n/a,"n/a,",n/a,$2.0,2018,N,n/a,n/a,http://www.atlintl.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a
Advanced Technologies Group,Y,IA,64,1991,2012,n/a,HIG Capital,TKC Holdings,n/a,Tier 2 - Investment Firm-Owned,Data & Information Systems,Corrections Data Systems,n/a,n/a,n/a,n/a,12,Y,,,Y,n/a,Acquired by Keefe Group in 2012 ,http://www.a-t-g.com/,See website,n/a,n/a,n/a,http://tcbmag.com/honors/articles/2015/entrepreneurs-of-the-year/atul-gupta
Advanced Technology Information Management Systems (ATIMS),Y,CA,,1999,n/a,n/a,n/a,ActOne Group,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Data & Information Systems,Corrections Data Systems,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,Acquisition history unknown,https://www.atims.com/,See website,n/a,n/a,n/a,https://guidebook.com/guide/117198/list/579848/
AdvancePierre,Y,OH,"4,500",1946,2017,n/a,n/a,Tyson Foods,TSN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,9,n/a,"$1,568.3",2016,N,n/a,Acquired by Tyson Foods in 2017 for $4.2 B,https://www.advancepierre.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1669792/000119312517077043/d340478d10k.htm#tx340478_13,http://ir.tyson.com/investor-relations/news-releases/news-releases-details/2017/Tyson-Foods-to-Acquire-AdvancePierre-Foods-for-4025-Per-Share-in-Cash/default.aspx
Advantage Business Angels,Y,United Kingdom,5,2003,n/a,Bernard Zissman,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,12,Y,n/a,n/a,N,n/a,n/a,https://www.advantagebusinessangels.co.uk/,See Metrasens,n/a,n/a,n/a,https://www.metrasens.com/about/
Advantage Chemical,Y,CA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.advantagechemical.com/,https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,n/a,n/a,n/a,n/a
Advantech,Y,Taiwan,"7,801",1981,n/a,James Gizzi,n/a,n/a,2395-TW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,n/a,n/a,n/a,n/a,8,n/a,"$1,799.7",2019,N,n/a,Financials converted from TWD,http://www.advantech.com/,http://correctionsmarketplace.com/,n/a,n/a,FactSet,n/a
Advent Capital Management,Y,NY,,1995,n/a,n/a,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,12,Y,,,N,n/a,n/a,http://www.adventcap.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf ,n/a,n/a,n/a,n/a
Advent International,Y,MA,425,1984,n/a,Ashwin Krishnan,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,10,n/a,,,N,n/a,n/a,https://www.adventinternational.com/,See Bottom Line Food Processors (dba Michael Angelo's Gormet Foods),n/a,n/a,n/a,n/a
Advent Systems,Y,IL,125,1994,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,$42.0,2019,N,n/a,n/a,https://www.adventsystems.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a
Adventfs.com,Y,KY,,2006,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Financial Services,Agency Payment Processing,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.adventfs.com/,See website,n/a,n/a,n/a,n/a
AE Industrial Partners,Y,FL,,1989,n/a,Mark Satran,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,12,Y,,,N,n/a,n/a,https://www.aeroequity.com/,See CDI Corporation (dba CDI Infrastructure),n/a,n/a,n/a,n/a
AE Nelson Leather,Y,OR,,1938,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.nelsonleather.com/,http://aenelson.hostcentric.com/index.php?cPath=27&osCsid=f9d6c58a85263422429adf0e9bda201f,n/a,n/a,n/a,n/a
AE Security Group (dba AE of Ohio),Y,OH,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.aeofohio.com/,OH DRC Spending,n/a,n/a,n/a,n/a
AEA Investors,Y,NY,93,1963,n/a,John Garcia,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,7,n/a,n/a,n/a,N,n/a,n/a,http://www.aeainvestors.com/,See SBP Holdings,n/a,n/a,n/a,https://www.inddist.com/home/news/13766575/aea-investors-acquire-singer-equities
AECOM,Y,CA,"87,225",1980,n/a,Michael S. Burke,n/a,n/a,ACM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Architecture & Engineerging,Construction & Maintenance,Construction,Y,n/a,13,Y,"$20,173.3",2019,N,n/a,n/a,http://www.aecom.com/,http://www.aecom.com/ca/markets/government/justice/,https://worthrises.org/immigration,n/a,FactSet,n/a
Aeon LED Lighting ,Y,SC,,2010,n/a,Shahil Amin,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Other,n/a,n/a,Y,n/a,"n/a,",n/a,,,N,n/a,n/a,https://aeonledlighting.com/,https://aeonledlighting.com/2020/01/correctional-facilities-lighting/,n/a,n/a,n/a,n/a
Aerator Solutions,Y,IL,,1985,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://aeratorsolutions.com/,http://doc.ok.gov/closed-bids,n/a,n/a,n/a,n/a
AES IntelliNet,Y,MA,110,1974,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,Equipment,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",n/a,$30.0,2018,N,n/a,n/a,https://aes-corp.com,https://aes-corp.com/product/7479-intelliguard/,n/a,n/a,PrivCo (www.privco.com),n/a
AF Potts Lumber Sales,Y,TN,,1973,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,,,N,n/a,n/a,n/a,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004193-T.pdf,n/a,See corrections source,n/a,n/a
Affinis,Y,KS,35,2002,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",n/a,$6.5,2019,N,n/a,n/a,http://affinis.us/,See Seco Select,n/a,n/a,PrivCo (www.privco.com),n/a
AFIX Technologies (formerly The Phoenix Group),Y,KS,,1989,n/a,n/a,n/a,MAXAR Technologies,MAXR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,Data & Information Systems,Immigration Data Systems,Y,n/a,11,Y,,,N,n/a,Acquisition history unknown,http://www.afix.net/,http://afix.net/#2,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,n/a,n/a
